r,coverage_ratio,ecdf
5,0,0.003533568905
5,0,0.007067137809
5,0,0.01060070671
5,0,0.01413427562
5,0,0.01766784452
5,0,0.02120141343
5,0,0.02473498233
5,0,0.02826855124
5,0,0.03180212014
5,0,0.03533568905
5,0,0.03886925795
5,0,0.04240282686
5,0,0.04593639576
5,0,0.04946996466
5,0,0.05300353357
5,0,0.05653710247
5,0,0.06007067138
5,0,0.06360424028
5,0,0.06713780919
5,0,0.07067137809
5,0,0.074204947
5,0,0.0777385159
5,0,0.08127208481
5,0,0.08480565371
5,0,0.08833922261
5,0,0.09187279152
5,0,0.09540636042
5,0,0.09893992933
5,0,0.1024734982
5,0,0.1060070671
5,0,0.109540636
5,0,0.1130742049
5,0,0.1166077739
5,0,0.1201413428
5,0,0.1236749117
5,0,0.1272084806
5,0,0.1307420495
5,0,0.1342756184
5,0,0.1378091873
5,0,0.1413427562
5,0,0.1448763251
5,0,0.148409894
5,0,0.1519434629
5,0,0.1554770318
5,0,0.1590106007
5,0,0.1625441696
5,0,0.1660777385
5,0,0.1696113074
5,0,0.1731448763
5,0,0.1766784452
5,0,0.1802120141
5,0,0.183745583
5,0,0.1872791519
5,0,0.1908127208
5,0,0.1943462898
5,0,0.1978798587
5,0,0.2014134276
5,0,0.2049469965
5,0,0.2084805654
5,0,0.2120141343
5,0,0.2155477032
5,0,0.2190812721
5,0,0.222614841
5,0,0.2261484099
5,0,0.2296819788
5,0,0.2332155477
5,0,0.2367491166
5,0,0.2402826855
5,0,0.2438162544
5,0,0.2473498233
5,0,0.2508833922
5,0,0.2544169611
5,0,0.25795053
5,0,0.2614840989
5,0,0.2650176678
5,0,0.2685512367
5,0,0.2720848057
5,0,0.2756183746
5,0,0.2791519435
5,0,0.2826855124
5,0,0.2862190813
5,0.008459560974,0.2897526502
5,0.01847858399,0.2932862191
5,0.01909723688,0.296819788
5,0.02814375969,0.3003533569
5,0.02943280602,0.3038869258
5,0.04493905456,0.3074204947
5,0.05448141656,0.3109540636
5,0.06261620459,0.3144876325
5,0.08745518941,0.3180212014
5,0.08988601466,0.3215547703
5,0.09110698857,0.3250883392
5,0.09802723024,0.3286219081
5,0.1018913415,0.332155477
5,0.1074722283,0.3356890459
5,0.1161683651,0.3392226148
5,0.1228513003,0.3427561837
5,0.1419503756,0.3462897527
5,0.146230311,0.3498233216
5,0.1806199276,0.3533568905
5,0.1811252458,0.3568904594
5,0.1815653466,0.3604240283
5,0.1850849656,0.3639575972
5,0.1864738398,0.3674911661
5,0.1884523895,0.371024735
5,0.1978486082,0.3745583039
5,0.207707823,0.3780918728
5,0.2112697439,0.3816254417
5,0.214197313,0.3851590106
5,0.2307894785,0.3886925795
5,0.244218318,0.3922261484
5,0.2470780604,0.3957597173
5,0.2632090576,0.3992932862
5,0.267234501,0.4028268551
5,0.268612733,0.406360424
5,0.2689171873,0.4098939929
5,0.2733550638,0.4134275618
5,0.2833574498,0.4169611307
5,0.2863637081,0.4204946996
5,0.2863835698,0.4240282686
5,0.2964185766,0.4275618375
5,0.296802854,0.4310954064
5,0.3027273591,0.4346289753
5,0.3033519227,0.4381625442
5,0.3074814585,0.4416961131
5,0.3158177715,0.445229682
5,0.3219522106,0.4487632509
5,0.3424402612,0.4522968198
5,0.3453732461,0.4558303887
5,0.355018526,0.4593639576
5,0.3619028396,0.4628975265
5,0.3629384823,0.4664310954
5,0.3728761386,0.4699646643
5,0.3764937975,0.4734982332
5,0.3765395359,0.4770318021
5,0.3788491599,0.480565371
5,0.3845834005,0.4840989399
5,0.3907099701,0.4876325088
5,0.3928767498,0.4911660777
5,0.4153693404,0.4946996466
5,0.4195302954,0.4982332155
5,0.423694243,0.5017667845
5,0.4237282573,0.5053003534
5,0.426212594,0.5088339223
5,0.435352675,0.5123674912
5,0.4362019227,0.5159010601
5,0.4370904033,0.519434629
5,0.4455858607,0.5229681979
5,0.4523708828,0.5265017668
5,0.4566019755,0.5300353357
5,0.4647915705,0.5335689046
5,0.4717565416,0.5371024735
5,0.4721914325,0.5406360424
5,0.4835693082,0.5441696113
5,0.488957326,0.5477031802
5,0.4910563863,0.5512367491
5,0.501919645,0.554770318
5,0.5064544974,0.5583038869
5,0.5085732789,0.5618374558
5,0.5177662706,0.5653710247
5,0.5192002026,0.5689045936
5,0.5290950539,0.5724381625
5,0.5321878753,0.5759717314
5,0.5407565895,0.5795053004
5,0.5407899733,0.5830388693
5,0.5556116517,0.5865724382
5,0.5587768042,0.5901060071
5,0.5599516392,0.593639576
5,0.5715332157,0.5971731449
5,0.5849093418,0.6007067138
5,0.5865901983,0.6042402827
5,0.5890639832,0.6077738516
5,0.5945040654,0.6113074205
5,0.604379978,0.6148409894
5,0.6230858437,0.6183745583
5,0.6303730641,0.6219081272
5,0.6380850894,0.6254416961
5,0.644194437,0.628975265
5,0.6529628332,0.6325088339
5,0.6538132653,0.6360424028
5,0.6650689649,0.6395759717
5,0.6700834151,0.6431095406
5,0.6716748169,0.6466431095
5,0.673499737,0.6501766784
5,0.6893644278,0.6537102473
5,0.6975507087,0.6572438163
5,0.7071420287,0.6607773852
5,0.710639558,0.6643109541
5,0.7146753388,0.667844523
5,0.7151070454,0.6713780919
5,0.7353170299,0.6749116608
5,0.7361625813,0.6784452297
5,0.7384686146,0.6819787986
5,0.7397285182,0.6855123675
5,0.7489411627,0.6890459364
5,0.7567556944,0.6925795053
5,0.7567788382,0.6961130742
5,0.7641585281,0.6996466431
5,0.7695742286,0.703180212
5,0.7780968742,0.7067137809
5,0.7863067676,0.7102473498
5,0.7919938394,0.7137809187
5,0.8054215986,0.7173144876
5,0.8154703864,0.7208480565
5,0.8180413281,0.7243816254
5,0.8277438691,0.7279151943
5,0.8360715973,0.7314487633
5,0.8377341746,0.7349823322
5,0.8399409298,0.7385159011
5,0.8480519759,0.74204947
5,0.8508827907,0.7455830389
5,0.8530269737,0.7491166078
5,0.8597622424,0.7526501767
5,0.8718408348,0.7561837456
5,0.8719329763,0.7597173145
5,0.8731779343,0.7632508834
5,0.88299925,0.7667844523
5,0.8843251448,0.7703180212
5,0.8968557538,0.7738515901
5,0.9009172281,0.777385159
5,0.9100582061,0.7809187279
5,0.9123141087,0.7844522968
5,0.9151944031,0.7879858657
5,0.9237207717,0.7915194346
5,0.9262268592,0.7950530035
5,0.9283532224,0.7985865724
5,0.9327720795,0.8021201413
5,0.9349012913,0.8056537102
5,0.9458552165,0.8091872792
5,0.9462660088,0.8127208481
5,0.9528126246,0.816254417
5,0.9535591877,0.8197879859
5,0.9801976299,0.8233215548
