ecdf の SUM,r,,,,,,,,
coverage_ratio,5,10,15,20,25,35,45,50,総計
0,11.73498233,3.190812721,0.9752650177,0.371024735,0.05300353357,0.003533568905,,,16.32862191
0.0001045186123,,0.1519434629,,,,,,,0.1519434629
0.005151429975,,,0.08480565371,,,,,,0.08480565371
0.008459560974,0.2897526502,,,,,,,,0.2897526502
0.01564013552,,,,0.05300353357,,,,,0.05300353357
0.01847858399,0.2932862191,,,,,,,,0.2932862191
0.01909723688,0.296819788,,,,,,,,0.296819788
0.01918278544,,,,,,0.007067137809,,,0.007067137809
0.02483445133,,0.1554770318,,,,,,,0.1554770318
0.02484921635,,,0.08833922261,,,,,,0.08833922261
0.02814375969,0.3003533569,,,,,,,,0.3003533569
0.02943280602,0.3038869258,,,,,,,,0.3038869258
0.0421769576,,0.1590106007,0.09187279152,,,,,,0.2508833922
0.04493905456,0.3074204947,,,,,,,,0.3074204947
0.05448141656,0.3109540636,,,,,,,,0.3109540636
0.06261620459,0.3144876325,,,,,,,,0.3144876325
0.077287639,,,,0.05653710247,,,,,0.05653710247
0.08745518941,0.3180212014,0.1625441696,,,,,,,0.480565371
0.08988601466,0.3215547703,,,,,,,,0.3215547703
0.09110698857,0.3250883392,,,,,,,,0.3250883392
0.09383831087,,,0.09540636042,,,,,,0.09540636042
0.09687756549,,,,0.06007067138,,,,,0.06007067138
0.09771788692,,,,0.06360424028,,,,,0.06360424028
0.09802723024,0.3286219081,,,,,,,,0.3286219081
0.1018913415,0.332155477,0.1660777385,,,,,,,0.4982332155
0.1051112656,,,0.09893992933,,,,,,0.09893992933
0.106883062,,,,0.06713780919,,,,,0.06713780919
0.1074722283,0.3356890459,,,,,,,,0.3356890459
0.1084676604,,0.1696113074,,,,,,,0.1696113074
0.1161683651,0.3392226148,,,,,,,,0.3392226148
0.1228513003,0.3427561837,,,,,,,,0.3427561837
0.1386157375,,0.1731448763,,,,,,,0.1731448763
0.1399935742,,,0.1024734982,0.07067137809,,,,,0.1731448763
0.1403140616,,,,0.074204947,,,,,0.074204947
0.1419503756,0.3462897527,,,,,,,,0.3462897527
0.1459244723,,0.1766784452,,,,,,,0.1766784452
0.146230311,0.3498233216,,,,,,,,0.3498233216
0.1470503051,,,0.1060070671,,,,,,0.1060070671
0.1590231717,,,,,0.02120141343,,,,0.02120141343
0.1687017605,,,,,0.02473498233,,,,0.02473498233
0.1806199276,0.3533568905,,,,,,,,0.3533568905
0.1811252458,0.3568904594,,,,,,,,0.3568904594
0.1815653466,0.3604240283,,,,,,,,0.3604240283
0.1850849656,0.3639575972,,,,,,,,0.3639575972
0.18615187,,,0.109540636,,,,,,0.109540636
0.1864738398,0.3674911661,,,,,,,,0.3674911661
0.1884523895,0.371024735,,,,,,,,0.371024735
0.1891902785,,,,0.0777385159,,,,,0.0777385159
0.1978486082,0.3745583039,,,,,,,,0.3745583039
0.2033324932,,,0.1130742049,,,,,,0.1130742049
0.207707823,0.3780918728,,,,,,,,0.3780918728
0.2112697439,0.3816254417,,,,,,,,0.3816254417
0.214197313,0.3851590106,,,,,,,,0.3851590106
0.227211242,,0.1802120141,,,,,,,0.1802120141
0.2294030441,,,0.1166077739,,,,,,0.1166077739
0.2307894785,0.3886925795,,,,,,,,0.3886925795
0.2330557182,,,0.1201413428,,,,,,0.1201413428
0.2354128689,,0.183745583,,,,,,,0.183745583
0.244218318,0.3922261484,,,,,,,,0.3922261484
0.2470780604,0.3957597173,,,,,,,,0.3957597173
0.2513376135,,,,,0.02826855124,,,,0.02826855124
0.2632090576,0.3992932862,,,,,,,,0.3992932862
0.267234501,0.4028268551,,,,,,,,0.4028268551
0.268612733,0.406360424,,,,,,,,0.406360424
0.2689171873,0.4098939929,,,,,,,,0.4098939929
0.2733550638,0.4134275618,,,,,,,,0.4134275618
0.2833574498,0.4169611307,,,,,,,,0.4169611307
0.2852335149,,0.1872791519,,,,,,,0.1872791519
0.285950389,,0.1908127208,,,,,,,0.1908127208
0.2862689197,,,0.1236749117,,,,,,0.1236749117
0.2863637081,0.4204946996,,,,,,,,0.4204946996
0.2863835698,0.4240282686,,,,,,,,0.4240282686
0.290009393,,,,0.08127208481,,,,,0.08127208481
0.2952303741,,0.1943462898,,,,,,,0.1943462898
0.2964185766,0.4275618375,,,,,,,,0.4275618375
0.296802854,0.4310954064,,,,,,,,0.4310954064
0.3019769912,,0.1978798587,,,,,,,0.1978798587
0.3027273591,0.4346289753,,,,,,,,0.4346289753
0.3033519227,0.4381625442,,,,,,,,0.4381625442
0.3074814585,0.4416961131,,,,,,,,0.4416961131
0.3158177715,0.445229682,,,,,,,,0.445229682
0.3219522106,0.4487632509,,,,,,,,0.4487632509
0.3226670244,,0.2014134276,,,,,,,0.2014134276
0.3326796802,,0.2049469965,,,,,,,0.2049469965
0.3424402612,0.4522968198,,,,,,,,0.4522968198
0.3440527836,,0.2084805654,,,,,,,0.2084805654
